Date,Open,High,Low,Close
31/05/2012,1580.67,1580.67,1580.67,1580.67
01/06/2012,1573.59,1573.59,1573.59,1573.59
04/06/2012,1555.18,1555.18,1555.18,1555.18
05/06/2012,1560.36,1560.36,1560.36,1560.36
06/06/2012,1569.43,1569.43,1569.43,1569.43
07/06/2012,1575.31,1575.31,1575.31,1575.31
08/06/2012,1570.62,1570.62,1570.62,1570.62
11/06/2012,1578.41,1578.41,1578.41,1578.41
12/06/2012,1576.07,1576.07,1576.07,1576.07
13/06/2012,1576.23,1576.23,1576.23,1576.23
14/06/2012,1570.94,1570.94,1570.94,1570.94
15/06/2012,1579.23,1579.23,1579.23,1579.23
18/06/2012,1582.73,1582.73,1582.73,1582.73
19/06/2012,1594.98,1594.98,1594.98,1594.98
20/06/2012,1604.39,1604.39,1604.39,1604.39
21/06/2012,1601.43,1601.43,1601.43,1601.43
22/06/2012,1603.07,1603.07,1603.07,1603.07
25/06/2012,1603.12,1603.12,1603.12,1603.12
26/06/2012,1594.1,1594.1,1594.1,1594.1
27/06/2012,1601.89,1601.89,1601.89,1601.89
28/06/2012,1594.24,1594.24,1594.24,1594.24
29/06/2012,1599.15,1599.15,1599.15,1599.15
02/07/2012,1600.85,1600.85,1600.85,1600.85
03/07/2012,1607.74,1607.74,1607.74,1607.74
04/07/2012,1613.75,1613.75,1613.75,1613.75
05/07/2012,1614.43,1614.43,1614.43,1614.43
06/07/2012,1620.55,1620.55,1620.55,1620.55
09/07/2012,1620.31,1620.31,1620.31,1620.31
10/07/2012,1624.29,1624.29,1624.29,1624.29
11/07/2012,1629.45,1629.45,1629.45,1629.45
12/07/2012,1625.49,1625.49,1625.49,1625.49
13/07/2012,1626.38,1626.38,1626.38,1626.38
16/07/2012,1635.96,1635.96,1635.96,1635.96
17/07/2012,1639.15,1639.15,1639.15,1639.15
18/07/2012,1645,1645,1645,1645
19/07/2012,1644.6,1644.6,1644.6,1644.6
20/07/2012,1643,1643,1643,1643
23/07/2012,1636.17,1636.17,1636.17,1636.17
24/07/2012,1632.57,1632.57,1632.57,1632.57
25/07/2012,1635.09,1635.09,1635.09,1635.09
26/07/2012,1623.91,1623.91,1623.91,1623.91
27/07/2012,1624.94,1624.94,1624.94,1624.94
30/07/2012,1632.35,1632.35,1632.35,1632.35
31/07/2012,1631.6,1631.6,1631.6,1631.6
01/08/2012,1632.47,1632.47,1632.47,1632.47
02/08/2012,1633.45,1633.45,1633.45,1633.45
03/08/2012,1635.04,1635.04,1635.04,1635.04
06/08/2012,1639.43,1639.43,1639.43,1639.43
07/08/2012,1631.12,1631.12,1631.12,1631.12
08/08/2012,1635.92,1635.92,1635.92,1635.92
09/08/2012,1642.52,1642.52,1642.52,1642.52
10/08/2012,1645.36,1645.36,1645.36,1645.36
13/08/2012,1646.32,1646.32,1646.32,1646.32
14/08/2012,1652.9,1652.9,1652.9,1652.9
15/08/2012,1653.78,1653.78,1653.78,1653.78
16/08/2012,1650.09,1650.09,1650.09,1650.09
17/08/2012,1649.79,1649.79,1649.79,1649.79
20/08/2012,1649.79,1649.79,1649.79,1649.79
21/08/2012,1649.79,1649.79,1649.79,1649.79
22/08/2012,1652.25,1652.25,1652.25,1652.25
23/08/2012,1651.61,1651.61,1651.61,1651.61
24/08/2012,1648.22,1648.22,1648.22,1648.22
27/08/2012,1648.13,1648.13,1648.13,1648.13
28/08/2012,1647.11,1647.11,1647.11,1647.11
29/08/2012,1645.58,1645.58,1645.58,1645.58
30/08/2012,1646.11,1646.11,1646.11,1646.11
31/08/2012,1646.11,1646.11,1646.11,1646.11
03/09/2012,1653.9,1653.9,1653.9,1653.9
04/09/2012,1654.11,1654.11,1654.11,1654.11
05/09/2012,1641.01,1641.01,1641.01,1641.01
06/09/2012,1617.99,1617.99,1617.99,1617.99
07/09/2012,1624.55,1624.55,1624.55,1624.55
10/09/2012,1621.04,1621.04,1621.04,1621.04
11/09/2012,1614.24,1614.24,1614.24,1614.24
12/09/2012,1613.78,1613.78,1613.78,1613.78
13/09/2012,1628.4,1628.4,1628.4,1628.4
14/09/2012,1642.95,1642.95,1642.95,1642.95
17/09/2012,1642.95,1642.95,1642.95,1642.95
18/09/2012,1640.33,1640.33,1640.33,1640.33
19/09/2012,1646.11,1646.11,1646.11,1646.11
20/09/2012,1625.59,1625.59,1625.59,1625.59
21/09/2012,1623.7,1623.7,1623.7,1623.7
24/09/2012,1612.38,1612.38,1612.38,1612.38
25/09/2012,1618.58,1618.58,1618.58,1618.58
26/09/2012,1619.3,1619.3,1619.3,1619.3
27/09/2012,1627.84,1627.84,1627.84,1627.84
28/09/2012,1636.66,1636.66,1636.66,1636.66
01/10/2012,1643.31,1643.31,1643.31,1643.31
02/10/2012,1651.03,1651.03,1651.03,1651.03
03/10/2012,1649.75,1649.75,1649.75,1649.75
04/10/2012,1661.47,1661.47,1661.47,1661.47
05/10/2012,1660.23,1660.23,1660.23,1660.23
08/10/2012,1660.22,1660.22,1660.22,1660.22
09/10/2012,1663.32,1663.32,1663.32,1663.32
10/10/2012,1659.4,1659.4,1659.4,1659.4
11/10/2012,1655.47,1655.47,1655.47,1655.47
12/10/2012,1653.36,1653.36,1653.36,1653.36
15/10/2012,1654.44,1654.44,1654.44,1654.44
16/10/2012,1653.52,1653.52,1653.52,1653.52
17/10/2012,1660.67,1660.67,1660.67,1660.67
18/10/2012,1665.42,1665.42,1665.42,1665.42
19/10/2012,1666.35,1666.35,1666.35,1666.35
22/10/2012,1661.95,1661.95,1661.95,1661.95
23/10/2012,1664.9,1664.9,1664.9,1664.9
24/10/2012,1667.99,1667.99,1667.99,1667.99
25/10/2012,1671.89,1671.89,1671.89,1671.89
26/10/2012,1671.89,1671.89,1671.89,1671.89
29/10/2012,1672.56,1672.56,1672.56,1672.56
30/10/2012,1674.67,1674.67,1674.67,1674.67
31/10/2012,1673.07,1673.07,1673.07,1673.07
01/11/2012,1675.69,1675.69,1675.69,1675.69
